HPSI1016i-qics_5	qics_5	SAMEA104134241
HPSI1016i-eoxu_5	eoxu_5	SAMEA104134231
HPSI0916i-zaue_3	zaue_3	SAMEA104134260
HPSI1116i-sozw_6	sozw_6	SAMEA104135330
HPSI1116i-sozw_1	sozw_1	SAMEA104135329
HPSI0913i-gedo_33	gedo_33	SAMEA2398982
HPSI0613i-lizq_1	lizq_1###WTSIi137-A	SAMEA2398446
HPSI0514i-birb_4	birb_4	SAMEA4303157
HPSI0414i-eevy_4	eevy_4	SAMEA3848093
HPSI0514i-eoxi_4	eoxi_4	SAMEA3344895
HPSI0714i-xebt_1	xebt_1	SAMEA3340821
HPSI0714i-xebt_6	xebt_6	SAMEA3355555
HPSI0414i-oeox_2	oeox_2	SAMEA3271657
HPSI0714i-lutt_5	lutt_5	SAMEA3340483
HPSI0514i-aecv_6	aecv_6	SAMEA4091790
HPSI0514i-aecv_1	aecv_1	SAMEA4091785
HPSI0414i-oulr_1	oulr_1	SAMEA3847990
HPSI0414i-oulr_6	oulr_6	SAMEA3847994
HPSI0414i-wija_6	wija_6	SAMEA4085261
HPSI0414i-wija_1	wija_1	SAMEA4085264
HPSI0514i-dudn_1	dudn_1	SAMEA3381723
HPSI0514i-mure_7	mure_7	SAMEA4093127
HPSI0614i-dixh_1	dixh_1	SAMEA3282998
HPSI0414i-niim_2	niim_2	SAMEA4088906
HPSI0714i-fasu_1	fasu_1	SAMEA3339627
HPSI0614i-zoio_1	zoio_1	SAMEA4085324
HPSI0614i-zoio_6	zoio_6	SAMEA4085318
HPSI0714i-ciay_2	ciay_2	SAMEA3321238
HPSI0714i-ciay_7	ciay_7	SAMEA4339714
HPSI0714i-ciay_14	ciay_14	SAMEA4339725
HPSI0414pf-kodf	kodf	SAMEA2464786
HPSI0414i-kodf_3	kodf_3	SAMEA2708762
HPSI0414i-oeox_7	oeox_7	SAMEA4085277
HPSI1116i-yuuh_2	yuuh_2	SAMEA104132426
HPSI1016i-riwg_5	riwg_5	SAMEA104132413
HPSI0816i-xoga_4	xoga_4	SAMEA104132422
HPSI0414i-fixm_1	fixm_1	SAMEA2757094
HPSI0816i-uixy_4	uixy_4	SAMEA104132476
HPSI0816i-xoga_9	xoga_9	SAMEA104132639
HPSI0816i-xoga_11	xoga_11	SAMEA104132634
HPSI1016i-hicv_5	hicv_5	SAMEA104132494
HPSI0813i-mioj_2	mioj_2	SAMEA4449170
HPSI1016i-livl_11	livl_11	SAMEA104132687
HPSI0614pf-wihj	wihj	SAMEA2604128
HPSI0614pf-puhk	puhk	SAMEA2570428
HPSI1114pf-kuul	kuul	SAMEA3111100
HPSI0814i-siqu_11	siqu_11	SAMEA4092051
HPSI0216i-vieg_4	vieg_4	SAMEA4453871
HPSI0216i-boho_5	boho_5	SAMEA4447054
HPSI1116i-wiau_3	wiau_3	SAMEA104132893
HPSI1116i-seff_4	seff_4	SAMEA104133794
HPSI1116i-yiek_4	yiek_4	SAMEA104132899
HPSI0616i-kalo_2	kalo_2	SAMEA103887300
HPSI1116i-vozo_4	vozo_4	SAMEA104132913
HPSI1116i-zazt_1	zazt_1	SAMEA104132902
HPSI1116i-uabf_5	uabf_5	SAMEA104012608
HPSI0916i-vajy_2	vajy_2	SAMEA104012547
HPSI0416i-uavt_3	uavt_3	SAMEA4453840
HPSI0416i-uavt_8	uavt_8	SAMEA4454468
HPSI1116i-mebq_1	mebq_1	SAMEA104012540
HPSI0516i-beyt_5	beyt_5	SAMEA17648668
